,Drag Coefficient,mass,diameter,fall_velocity,air_density,air_viscosity,Reynolds Number,shapes,KPCA1,KPCA2,KPCA3
65,0.5130358,1.6999999e-07,0.0023674625,1.46,1.112,1.758e-05,218.63611,14,0.1054768332437496,-0.27343435782668546,-0.14005707838849862
66,0.8963906,3e-07,0.0028055324,1.33,1.112,1.758e-05,236.0222,15,0.21692760568549563,-0.3162330444067159,-0.05304542967562981
67,1.7284492,9e-08,0.0014816583,1.03,1.112,1.758e-05,96.531975,15,0.3532815994050581,0.05706494225033609,-0.014433138133877272
68,2.1003885,1.05e-07,0.0013035624,1.03,1.112,1.758e-05,84.9288,14,0.37755341962796357,-0.2198772229697862,0.03277986243887679
69,0.87708455,1.5e-08,0.0008007094,0.95,1.112,1.758e-05,48.115437,14,0.3121304985113529,-0.1157631550370177,-0.08186492246413762
70,1.0513302,6e-08,0.0011671623,1.25,1.112,1.758e-05,92.28417,14,0.11217396837744417,-0.2685715830435235,0.24771062681744682
71,0.8833853,1.5e-07,0.0014781543,1.69,1.112,1.758e-05,158.01286,14,0.4171761435617114,-0.14631089723213103,0.0015296995785313563
72,0.5350511,3.5e-08,0.0009562907,1.58,1.112,1.758e-05,95.572495,16,0.33957474202490134,-0.26766245357154417,0.1029885626031141
73,0.85185856,1.5e-08,0.0010083446,0.98,1.112,1.758e-05,62.505898,8,0.07052118529411897,0.2960745648842937,0.08301360054051767
74,0.5638782,9e-08,0.001785622,1.58,1.112,1.758e-05,178.45657,8,-0.0008172936855782003,0.11729045509798516,0.467080393474238
75,0.5861505,1.9999999e-07,0.001999291,1.93,1.112,1.758e-05,244.0727,8,0.0314618256860926,-0.024978986443540078,0.40526207874177395
76,1.7231591,9e-08,0.001736502,0.89,1.112,1.758e-05,97.75776,12,0.40663128419486205,0.2695884769341068,0.1205974680452085
77,0.6894102,6e-08,0.0013857667,1.45,1.112,1.758e-05,127.09956,12,0.3627642667400795,0.19594623594464378,0.04389307043024123
78,2.0776477,3.5e-08,0.0010348485,0.82,1.112,1.758e-05,53.675552,12,-0.3332641509550626,-0.05389423689428483,0.19042447065163684
79,1.747109,3e-07,0.0025382007,1.03,1.112,1.758e-05,165.3671,12,0.5050310477940427,0.1841413604429165,0.04634632890633054
80,2.2879615,1.6999999e-07,0.0018612975,0.87,1.112,1.758e-05,102.42854,12,0.49102050686465604,0.19377216927417018,0.05701839462102602
81,1.3242849,1.05e-07,0.0022391065,0.8,1.112,1.758e-05,113.305405,11,0.2904973218229582,0.2972403656345415,-0.0055465138635854986
82,1.1013374,1.2e-07,0.0018445887,1.09,1.112,1.758e-05,127.17799,14,-0.2816809810088645,-0.07447390965642235,0.29322203955990145
