,Drag Coefficient,Mass [kg],Diameter [m],Fall Velocity [m/s],Air Density [kg/m^3],Air Viscosity[N*s/m^2],Reynolds Number,Shape Class (Magono & Lee),Roll_Pic
34,0.5838549,5.2e-07,0.0025007979,2.25,1.112,1.758e-05,355.9156,bR4b,09_02
35,0.65068185,1.9999999e-07,0.0017103185,1.85,1.112,1.758e-05,200.14034,bR4c,09_11
36,0.7197269,9e-08,0.0016641982,1.48,1.112,1.758e-05,155.79471,bR4b,09_05
37,0.4786489,9e-08,0.0016536863,1.62,1.112,1.758e-05,169.45488,bR4c,09_27
38,0.83212286,1.2e-07,0.0017679483,1.37,1.112,1.758e-05,153.2061,bR4b,09_13
39,0.41919658,1.6999999e-07,0.0020639384,1.77,1.112,1.758e-05,231.07658,bR4a,09_09
40,0.3835586,3.9999998e-07,0.0025432545,2.25,1.112,1.758e-05,361.95804,bR4a,09_23
41,0.9873768,3.5e-08,0.0008708457,1.21,1.112,1.758e-05,66.6519,bR4a,09_15
42,2.1303751,9e-08,0.0013833499,1.16,1.112,1.758e-05,101.50232,bR4a,09_17
43,0.64398444,3e-07,0.0017348272,2.25,1.112,1.758e-05,246.90202,bR4c,09_19
44,0.6279055,1.2e-07,0.0015444483,1.64,1.112,1.758e-05,160.21498,bR4b,09_07
45,0.73670584,7e-08,0.0013597703,1.33,1.112,1.758e-05,114.393974,bR4b,10_33
46,1.4554181,1.5e-08,0.0006749162,0.89,1.112,1.758e-05,37.99494,bR4b,10_27
47,0.41071504,9e-08,0.0017814393,1.58,1.112,1.758e-05,178.03854,bR4b,10_25
48,1.0840026,6e-08,0.0019867984,0.9,1.112,1.758e-05,113.10512,bR3a,11_21
49,1.652462,9e-08,0.002246793,0.724,1.112,1.758e-05,102.8934,bR2b,11_28
50,0.65240216,9e-08,0.0016717593,1.45,1.112,1.758e-05,153.3302,bR4b,11_03
51,0.72515595,9e-08,0.0015785316,1.37,1.112,1.758e-05,136.7917,bR4b,11_07
52,0.75915426,6e-08,0.0013210453,1.29,1.112,1.758e-05,107.79369,bR4b,11_11
53,0.46100736,9e-08,0.0016014639,1.69,1.112,1.758e-05,171.19449,bR4b,11_13
54,1.3226622,7e-08,0.00084666535,1.48,1.112,1.758e-05,79.26099,bR4b,11_30
55,0.8759267,3e-07,0.004154343,1.13,1.112,1.758e-05,296.93866,bR3b,12_02
56,0.6629237,7e-07,0.0032182955,1.83,1.112,1.758e-05,372.53143,bR4a,12_24
57,0.5611501,8.4e-07,0.010083625,1.16,1.112,1.758e-05,739.8788,bMP7b,12_22
58,0.988769,6e-08,0.001355556,1.21,1.112,1.758e-05,103.75015,bR4b,12_06
59,0.8700406,6e-08,0.0013720188,1.29,1.112,1.758e-05,111.95299,bR4b,12_08
60,0.5976622,3.5e-07,0.0023485671,2.04,1.112,1.758e-05,303.0533,bR4b,12_04
61,1.584742,3.5e-08,0.0010635854,0.93,1.112,1.758e-05,62.56641,bR4a,13_04
62,0.47067362,9e-08,0.0016255103,1.62,1.112,1.758e-05,166.56766,bR4b,13_18
63,0.97244143,1.8e-07,0.0034809145,1.03,1.112,1.758e-05,226.78613,bAR2b,13_14
64,0.5278852,5.1e-07,0.0065947226,1.19,1.112,1.758e-05,496.39734,bAHP7b,13_22
65,1.3103232,4.9999997e-08,0.0015369892,0.82,1.112,1.758e-05,79.720604,bR3a,13_20
66,0.9740653,6e-08,0.0013321696,1.25,1.112,1.758e-05,105.33082,bR4a,13_16
67,0.8599505,1.4e-06,0.01482819,0.89,1.112,1.758e-05,834.76465,bAMP7b,13_27
68,0.41416055,6.3000005e-07,0.010926634,1.19,1.112,1.758e-05,822.46857,bAHP7b,13_24
69,0.8957052,7e-08,0.0025333802,0.9,1.112,1.758e-05,144.2211,bR2b,13_02
70,1.5327495,3.5e-08,0.0010951527,0.9,1.112,1.758e-05,62.345215,bR4a,13_12
71,1.4397577,6.5e-07,0.0049566394,1.03,1.112,1.758e-05,322.93155,bAS3,14_21
72,2.5391,2.6e-07,0.0042583114,0.82,1.112,1.758e-05,220.87022,bR1d (fractured),14_17
73,0.81850886,3.5e-07,0.00266267,1.51,1.112,1.758e-05,254.31982,bR4a,14_23
74,0.7250523,3e-07,0.0047345846,1.03,1.112,1.758e-05,308.4644,bAMP7b,15_19
75,0.83385164,2.3e-06,0.013988866,1.16,1.112,1.758e-05,1026.423,bAMP7b,15_17
76,1.2540501,6e-08,0.0012038185,1.11,1.112,1.758e-05,84.522026,bR4b,15_11
77,0.5130358,1.6999999e-07,0.0023674625,1.46,1.112,1.758e-05,218.63611,bR4b,15_04
78,0.8963906,3e-07,0.0028055324,1.33,1.112,1.758e-05,236.0222,bR4c,15_09
79,1.7284492,9e-08,0.0014816583,1.03,1.112,1.758e-05,96.531975,bR4c,15_07
80,1.3307682,1.3e-06,0.0054694857,1.26,1.112,1.758e-05,435.91614,bAS3,15_31
81,0.82440174,1e-06,0.011153413,1.03,1.112,1.758e-05,726.6595,bAHP7b,16_14
82,2.1003885,1.05e-07,0.0013035624,1.03,1.112,1.758e-05,84.9288,bR4b,16_04
83,0.59755945,2.5e-07,0.0056527653,1.13,1.112,1.758e-05,404.04086,bAS3,16_02
84,0.87708455,1.5e-08,0.0008007094,0.95,1.112,1.758e-05,48.115437,bR4b,17_20
85,1.0513302,6e-08,0.0011671623,1.25,1.112,1.758e-05,92.28417,bR4b,17_28
86,0.8833853,1.5e-07,0.0014781543,1.69,1.112,1.758e-05,158.01286,bR4b,17_24
87,0.5350511,3.5e-08,0.0009562907,1.58,1.112,1.758e-05,95.572495,unknown,17_06
88,0.85185856,1.5e-08,0.0010083446,0.98,1.112,1.758e-05,62.505898,bR1b,17_14
89,0.5638782,9e-08,0.001785622,1.58,1.112,1.758e-05,178.45657,bR1b,17_16
90,0.5861505,1.9999999e-07,0.001999291,1.93,1.112,1.758e-05,244.0727,bR1b,17_22
91,1.7231591,9e-08,0.001736502,0.89,1.112,1.758e-05,97.75776,bR3b,19_22
92,0.6894102,6e-08,0.0013857667,1.45,1.112,1.758e-05,127.09956,bR3b,19_16
93,2.0776477,3.5e-08,0.0010348485,0.82,1.112,1.758e-05,53.675552,bR3b,19_14
94,1.747109,3e-07,0.0025382007,1.03,1.112,1.758e-05,165.3671,bR3b,19_12
95,2.2879615,1.6999999e-07,0.0018612975,0.87,1.112,1.758e-05,102.42854,bR3b,19_08
96,1.3242849,1.05e-07,0.0022391065,0.8,1.112,1.758e-05,113.305405,bR3a,19_06
97,0.36050037,1.5999999e-06,0.017968955,1.29,1.112,1.758e-05,1466.2177,bAMP7b,22_04
98,1.1013374,1.2e-07,0.0018445887,1.09,1.112,1.758e-05,127.17799,bR4b,22_18
99,0.8190655,6e-08,0.003074475,0.89,1.112,1.758e-05,173.08002,bALP7a,23_12
100,1.568825,6e-08,0.0014866305,0.82,1.112,1.758e-05,77.1086,bR3a,23_04
101,1.2882832,5.5e-07,0.003951126,1.16,1.112,1.758e-05,289.91104,bR2b,24_02
102,1.2213906,6e-08,0.0011138036,1.29,1.112,1.758e-05,90.88333,bR1b,25_04
